N:  1000 missed percentage: 0.800 func no: 9, theta: 5.400000e-01
N: 10000 missed percentage: 1.450 func no: 9, theta: 5.400000e-01
N: 20000 missed percentage: 1.150 func no: 9, theta: 5.400000e-01
N: 30000 missed percentage: 0.900 func no: 9, theta: 5.400000e-01
N:    10 missed percentage: 6.400 func no: 9, theta: 5.500000e-01
N:   100 missed percentage: 1.200 func no: 9, theta: 5.500000e-01
N:  1000 missed percentage: 1.100 func no: 9, theta: 5.500000e-01
N: 10000 missed percentage: 0.950 func no: 9, theta: 5.500000e-01
N: 20000 missed percentage: 0.850 func no: 9, theta: 5.500000e-01
N: 30000 missed percentage: 1.400 func no: 9, theta: 5.500000e-01
N:    10 missed percentage: 5.650 func no: 9, theta: 5.600000e-01
N:   100 missed percentage: 0.950 func no: 9, theta: 5.600000e-01
N:  1000 missed percentage: 1.200 func no: 9, theta: 5.600000e-01
N: 10000 missed percentage: 1.000 func no: 9, theta: 5.600000e-01
N: 20000 missed percentage: 1.250 func no: 9, theta: 5.600000e-01
N: 30000 missed percentage: 1.050 func no: 9, theta: 5.600000e-01
N:    10 missed percentage: 5.100 func no: 9, theta: 5.700000e-01
N:   100 missed percentage: 1.750 func no: 9, theta: 5.700000e-01
N:  1000 missed percentage: 1.250 func no: 9, theta: 5.700000e-01
N: 10000 missed percentage: 1.000 func no: 9, theta: 5.700000e-01
N: 20000 missed percentage: 0.900 func no: 9, theta: 5.700000e-01
N: 30000 missed percentage: 1.050 func no: 9, theta: 5.700000e-01
N:    10 missed percentage: 4.650 func no: 9, theta: 5.800000e-01
N:   100 missed percentage: 1.900 func no: 9, theta: 5.800000e-01
N:  1000 missed percentage: 0.950 func no: 9, theta: 5.800000e-01
N: 10000 missed percentage: 1.250 func no: 9, theta: 5.800000e-01
N: 20000 missed percentage: 1.000 func no: 9, theta: 5.800000e-01
N: 30000 missed percentage: 0.850 func no: 9, theta: 5.800000e-01
N:    10 missed percentage: 5.300 func no: 9, theta: 5.900000e-01
N:   100 missed percentage: 1.750 func no: 9, theta: 5.900000e-01
N:  1000 missed percentage: 1.150 func no: 9, theta: 5.900000e-01
N: 10000 missed percentage: 0.800 func no: 9, theta: 5.900000e-01
N: 20000 missed percentage: 0.850 func no: 9, theta: 5.900000e-01
N: 30000 missed percentage: 1.250 func no: 9, theta: 5.900000e-01
N:    10 missed percentage: 5.900 func no: 9, theta: 6.000000e-01
N:   100 missed percentage: 1.400 func no: 9, theta: 6.000000e-01
N:  1000 missed percentage: 1.200 func no: 9, theta: 6.000000e-01
N: 10000 missed percentage: 0.850 func no: 9, theta: 6.000000e-01
N: 20000 missed percentage: 0.850 func no: 9, theta: 6.000000e-01
N: 30000 missed percentage: 0.550 func no: 9, theta: 6.000000e-01
N:    10 missed percentage: 6.900 func no: 9, theta: 6.100000e-01
N:   100 missed percentage: 1.400 func no: 9, theta: 6.100000e-01
N:  1000 missed percentage: 0.750 func no: 9, theta: 6.100000e-01
N: 10000 missed percentage: 0.900 func no: 9, theta: 6.100000e-01
N: 20000 missed percentage: 1.150 func no: 9, theta: 6.100000e-01
N: 30000 missed percentage: 0.800 func no: 9, theta: 6.100000e-01
N:    10 missed percentage: 6.900 func no: 9, theta: 6.200000e-01
N:   100 missed percentage: 1.350 func no: 9, theta: 6.200000e-01
N:  1000 missed percentage: 0.850 func no: 9, theta: 6.200000e-01
N: 10000 missed percentage: 1.250 func no: 9, theta: 6.200000e-01
N: 20000 missed percentage: 1.200 func no: 9, theta: 6.200000e-01
N: 30000 missed percentage: 1.100 func no: 9, theta: 6.200000e-01
N:    10 missed percentage: 7.600 func no: 9, theta: 6.300000e-01
N:   100 missed percentage: 1.150 func no: 9, theta: 6.300000e-01
N:  1000 missed percentage: 0.650 func no: 9, theta: 6.300000e-01
N: 10000 missed percentage: 0.950 func no: 9, theta: 6.300000e-01
N: 20000 missed percentage: 1.150 func no: 9, theta: 6.300000e-01
N: 30000 missed percentage: 0.950 func no: 9, theta: 6.300000e-01
N:    10 missed percentage: 7.500 func no: 9, theta: 6.400000e-01
N:   100 missed percentage: 1.300 func no: 9, theta: 6.400000e-01
N:  1000 missed percentage: 1.100 func no: 9, theta: 6.400000e-01
N: 10000 missed percentage: 0.950 func no: 9, theta: 6.400000e-01
N: 20000 missed percentage: 0.900 func no: 9, theta: 6.400000e-01
N: 30000 missed percentage: 0.650 func no: 9, theta: 6.400000e-01
N:    10 missed percentage: 9.550 func no: 9, theta: 6.500000e-01
N:   100 missed percentage: 0.950 func no: 9, theta: 6.500000e-01
N:  1000 missed percentage: 0.800 func no: 9, theta: 6.500000e-01
N: 10000 missed percentage: 1.100 func no: 9, theta: 6.500000e-01
N: 20000 missed percentage: 0.650 func no: 9, theta: 6.500000e-01
N: 30000 missed percentage: 0.800 func no: 9, theta: 6.500000e-01
N:    10 missed percentage: 2.850 func no: 9, theta: 6.600000e-01
N:   100 missed percentage: 1.400 func no: 9, theta: 6.600000e-01
N:  1000 missed percentage: 0.750 func no: 9, theta: 6.600000e-01
N: 10000 missed percentage: 1.200 func no: 9, theta: 6.600000e-01
N: 20000 missed percentage: 1.200 func no: 9, theta: 6.600000e-01
N: 30000 missed percentage: 0.850 func no: 9, theta: 6.600000e-01
N:    10 missed percentage: 1.350 func no: 9, theta: 6.700000e-01
N:   100 missed percentage: 1.250 func no: 9, theta: 6.700000e-01
